epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7860052585601807,0.45696601271629333,0.811987578868866,0.9264516234397888,0.8159156441688538,0.35438844561576843,0.8902275562286377,0.8580645322799683
1,0.841600775718689,0.3429873585700989,0.890740156173706,0.896774172782898,0.8235858082771301,0.32234394550323486,0.8377143144607544,0.9458064436912537
2,0.842319667339325,0.3258651793003082,0.8773176670074463,0.9158064723014832,0.8657718300819397,0.2907295227050781,0.9096774458885193,0.9096774458885193
3,0.8559789061546326,0.3161197304725647,0.8952863216400146,0.9129032492637634,0.8619367480278015,0.2900923788547516,0.9102730751037598,0.9032257795333862
4,0.8670021295547485,0.2949781119823456,0.9106163382530212,0.9103226065635681,0.8485139012336731,0.29666969180107117,0.9812792539596558,0.8116129040718079
5,0.870596706867218,0.30681949853897095,0.9126369953155518,0.9132258296012878,0.8820709586143494,0.2550225853919983,0.9244791865348816,0.9161290526390076
6,0.8897675275802612,0.27434486150741577,0.9288498759269714,0.9222580790519714,0.8763183355331421,0.27221179008483887,0.9708454608917236,0.8593548536300659
7,0.8900071978569031,0.26341432332992554,0.9247346520423889,0.9274193644523621,0.895493745803833,0.23619641363620758,0.9258311986923218,0.9341935515403748
8,0.8974359035491943,0.2522641718387604,0.9380328059196472,0.9229032397270203,0.8648130297660828,0.3073023855686188,0.9937694668769836,0.8232257962226868
9,0.8957584500312805,0.25004443526268005,0.9390444755554199,0.9193548560142517,0.9002876281738281,0.2323693484067917,0.937418520450592,0.9277419447898865
10,0.9039060473442078,0.23726201057434082,0.9449390172958374,0.9245161414146423,0.9127516746520996,0.21795739233493805,0.9634146094322205,0.9174193739891052
11,0.902228593826294,0.23233212530612946,0.9381510615348816,0.929677426815033,0.8897411227226257,0.23026612401008606,0.9219948649406433,0.9303225874900818
12,0.9003115296363831,0.23704653978347778,0.9408673048019409,0.9238709807395935,0.9089165925979614,0.22332870960235596,0.9748603105545044,0.9006451368331909
13,0.911334753036499,0.21435286104679108,0.9463701844215393,0.9335483908653259,0.9271332621574402,0.18961258232593536,0.9691275358200073,0.9316129088401794
14,0.9125329256057739,0.22300535440444946,0.9455848932266235,0.9361290335655212,0.9156280159950256,0.20114001631736755,0.9513797760009766,0.9341935515403748
